title,five_yr_bin,year_publication,authors,journal,volume_pages,sampling_start_date,sampling_end_date,study_area_grids,preferential_hemisphere,preferential_habitat,method,sampling_protocol,type_of_count,attraction_bias,continuous_time,n_snapshot,dist_boat,ship_speed,height_above_water,n_sides,n_observers,on_water_only,ship_followers,other_taxa_recorded,database_or_project,study_purpose,stats_technique,obs
"Relationships between the distributions of marine avian predators and their prey, Euphausia superba, in Bransfield Strait and southern Drake Passage, Antarctica",1986_1990,1989,Heinemann et al,MEPS,58:3-16,1-1985,2-1985,"33, 32",south,oceanic,strip_transect,biomass,continuous,research_fishing,uninterrupted,NA,300m,10,not specified,1,1,no,not specified,NA,SIBEX,"distribution, predator_prey","multivariate, modelling",
Seabird foraging aggregations--a comparison of two southern upwellings,1986_1990,1989,Duffy,Colon Waterbirds,12:164-175,1981,1986,"109, 85, 86",south,oceanic,log_book,other,not specified,"research_fishing, none_assumed",uninterrupted,NA,not specified,not specified,not specified,not specified,not specified,no,NA,NA,None,natural_history,qualitative,behavioural study
Seasonal abundance and marine habitats of Procellaria fulmarine and gadfly  petrels off central New South Wales,1986_1990,1990,Wood,Notornis,37:81-105,04-1985,03-1987,95,south,oceanic,max_number,other,radial,chumming,uninterrupted,NA,250m,7,2.6,4,1,no,pooled,NA,None,distribution,"qualitative, hypothesis_testing",They used chuming. Max number aggregated at 20 min intervals.
Hot spots in cold water--feeding habitat selection by thick-billed murres,1986_1990,1990,Cairns and Schneider,Stud Avian Biol,14:52-60,06-1982,08-1983,247,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,124m,not specified,not specified,1,not specified,not specified,not recorded,NA,None,"distribution, predator_prey","hypothesis_testing, modelling","Method described in Cairns, 1987 (Can J Zool, 65:1257-1263)"
Bullers shearwaters foraging around fishing vessels,1991_1995,1991,Langlands,Notornis,42:26:00,04-1990,02-1991,96,south,oceanic,log_book,other,not specified,commercial_fishing,not specified,NA,not specified,not specified,not specified,not specified,not specified,not specified,not specified,NA,None,natural_history,qualitative,Behaviour
"Influence of pycnocline topography and water-column structure on marine distributions of alcids (Aves--Alcidae) in Anadyr Strait, Northern Bering Sea, Alaska",1991_1995,1991,Haney,Mar Biol,110:419-435,08-1987,06-1989,241,north,oceanic,strip_transect,tasker,continuous,none_assumed,10min,NA,300m,10,5,1,1,yes,not specified,NA,None,distribution,"qualitative, hypothesis_testing, modelling",
"Seabird observations between Ascension, St Helenda and Tristan da Cunha in the central South Atlantic",1991_1995,1992,Rowlands,Mar Ornithol,20:25-42,12-1988,02-1992,"84, 85, 86, 109, 132",south,oceanic,strip_transect,tasker,snapshot,none_assumed,NA,every 1min,300m,not specified,not specified,1,1,not specified,not specified,NA,None,distribution,qualitative,
Testing for resource use and selection by marine birds,1991_1995,1992,Haney and Solow,J Field Ornithol,63:43-52,NA,NA,NA,north,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,method,modelling,"description of a stats method but the author do not specify explicitly the data source. However it seems like one of the study cases is (Haney, 1991 Mar Biol 110:419-435)"
Summer distribution and ecological role of seabirds and marine mammals in the Norwegian and Greenland seas (June 1988),1991_1995,1992,Joiris,J Mar Syst,3:73-89,06-1988,07-1988,"251, 252, 253",north,oceanic,count,other,continuous,none_assumed,30min,NA,unlimited,not specified,17,not specified,1,not specified,pooled,marine mammals,None,distribution,qualitative,
"Winter ecology and diet of ancient murrelets off Victoria, British Columbia",1991_1995,1993,Gaston et al,Can J Zool,71:64-70,02-1978,12-1979,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,200m,10,1.7,2,1-2,no,not specified,NA,None,distribution,"modelling, qualitative",inflatable boat
"Air-sea heat flux, ocean wind fields, and offshore dispersal of gulls",1991_1995,1994,Haney and Lee,Auk,111:427-440,1975,not specified,199,north,oceanic,count,other,not specified,none_assumed,not specified,NA,unlimited,not specified,not specified,not specified,not specified,,not specified,NA,None,distribution,modelling,
"Air-sea heat flux, ocean wind fields, and offshore dispersal of gulls",1991_1995,1994,Haney and Lee,Auk,111:427-440,1982,1985,"199, 175",north,oceanic,strip_transect,tasker,continuous,none_assumed,15min,NA,300m,not specified,not specified,not specified,not specified,,not specified,NA,None,distribution,modelling,
Associations between seabirds and cetaceans in the Australian sector of the southern Indian Ocean,1991_1995,1994,Hodges and Woehler,Mar Ornithol,22:205-212,1981,1990,"68, 69, 70, 44, 45, 46",south,oceanic,strip_transect,biomass,continuous,none_assumed,10min,NA,300m,not specified,not specified,1,1,no,not specified,cetaceans,ANARE,"distribution, natural_history",qualitative,
The distribution of Manx shearwaters Puffinus puffinus in north-west European waters,1991_1995,1994,Stone et al,Bird Study,41:170-180,1979,1993,"228, 229, 252, 253",north,oceanic,strip_transect,tasker,continuous_snapshot,none_assumed,uninterrupted,"at intervals, within 10min",300m,not specified,not specified,1-2,1,not specified,not specified,cetaceans,None,distribution,"qualitative, hypothesis_testing",
"Decline of the marbled murrelet in Clayoquot Sound, British Columbia--1982-1993",1991_1995,1995,Kelson et al,Northwest Nat,76:90-98,06-1992,07-1993,220,north,coastal,strip_transect,other,continuous,none_assumed,uninterrupted,NA,250m,5,1.7,2,1,yes,not specified,NA,None,"distribution, abundance","qualitative, hypothesis_testing",inflatable boat
Concurrent decreases in five species of Southern Ocean seabirds,1996_2000,1996,Woehler,Polar Biol,16:379-382,1980,1993,41,south,oceanic,strip_transect,biomass,continuous,none_assumed,10min,NA,300m,not specified,not specified,1,1,no,not specified,NA,None,abundance,"hypothesis_testing, modelling",
"Influence of hydrography, fishing activity, and colony location on summer seabird distribution in the south-eastern North Sea",1996_2000,1997,Garthe,ICES J Mar Sci,54:566-577,07-1993,07-1994,229,north,oceanic,strip_transect,tasker,snapshot,none_assumed,NA,every 1min,300m,not specified,not specified,1-2,1-2,no,not specified,NA,None,"community_ecology, distribution","hypothesis_testing, modelling, multivariate",Snapshot for flying birds and distance sampling for birds on the water.
